2026-05-20 11:47:46 | DEBUG   | QQQ | State 0→1 | break UP 1.27 SD
2026-05-20 11:47:46 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-20 11:47:46 | DEBUG   | QQQ | State 0→1 | break DN -1.64 SD
2026-05-20 11:47:46 | INFO    | 2024-01-24 done | running P&L: $-1.59
2026-05-20 11:47:46 | INFO    | --- 2024-01-25 (55 bars) ---
2026-05-20 11:47:46 | DEBUG   | QQQ | State 0→1 | break UP 1.10 SD
2026-05-20 11:47:46 | DEBUG   | QQQ | State 1→0 | short skipped (long-only mode)
2026-05-20 11:47:46 | DEBUG   | QQQ | State 0→1 | break UP 1.86 SD
2026-05-20 11:47:46 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:46 | DEBUG   | QQQ | State 0→1 | break DN -1.20 SD
2026-05-20 11:47:47 | INFO    | 2024-01-25 done | running P&L: $-1.59
2026-05-20 11:47:47 | INFO    | --- 2024-01-26 (55 bars) ---
2026-05-20 11:47:47 | DEBUG   | QQQ | State 0→1 | break UP 1.07 SD
2026-05-20 11:47:47 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:47 | DEBUG   | QQQ | State 0→1 | break UP 1.09 SD
2026-05-20 11:47:47 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:47 | DEBUG   | QQQ | State 0→1 | break DN -1.17 SD
2026-05-20 11:47:47 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:47 | DEBUG   | QQQ | State 0→1 | break DN -1.02 SD
2026-05-20 11:47:47 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:47 | DEBUG   | QQQ | State 0→1 | break DN -1.04 SD
2026-05-20 11:47:47 | INFO    | 2024-01-26 done | running P&L: $-1.59
2026-05-20 11:47:47 | INFO    | --- 2024-01-29 (55 bars) ---
2026-05-20 11:47:47 | DEBUG   | QQQ | State 0→1 | break UP 1.90 SD
2026-05-20 11:47:48 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-20 11:47:48 | DEBUG   | QQQ | State 0→1 | break UP 1.15 SD
2026-05-20 11:47:48 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:48 | DEBUG   | QQQ | State 0→1 | break UP 1.09 SD
2026-05-20 11:47:48 | DEBUG   | QQQ | State 1→0 | short skipped (long-only mode)
2026-05-20 11:47:48 | DEBUG   | QQQ | State 0→1 | break UP 1.40 SD
2026-05-20 11:47:48 | INFO    | 2024-01-29 done | running P&L: $-1.59
2026-05-20 11:47:48 | INFO    | --- 2024-01-30 (55 bars) ---
2026-05-20 11:47:48 | DEBUG   | QQQ | State 0→1 | break DN -1.57 SD
2026-05-20 11:47:49 | INFO    | QQQ | State 1→2 | enter_long | slope=-0.0492 ratio=0.777
2026-05-20 11:47:49 | INFO    | Position opened | QQQ long | 2 shares @ 425.56 | $851
2026-05-20 11:47:49 | DEBUG   | QQQ | State 2 | bars_in_position=1
2026-05-20 11:47:49 | DEBUG   | QQQ | State 2 | bars_in_position=2
2026-05-20 11:47:49 | DEBUG   | QQQ | State 2 | bars_in_position=3
2026-05-20 11:47:49 | DEBUG   | QQQ | State 2 | bars_in_position=4
2026-05-20 11:47:49 | DEBUG   | QQQ | State 2 | bars_in_position=5
2026-05-20 11:47:49 | INFO    | QQQ | State 2→3 | stop hit at 424.83
2026-05-20 11:47:49 | INFO    | Position closed | QQQ long | exit=424.84 | P&L=$-1.44 | reason=SL
2026-05-20 11:47:49 | DEBUG   | QQQ | State 3 | cooldown 2 bars left
2026-05-20 11:47:49 | DEBUG   | QQQ | State 3 | cooldown 1 bars left
2026-05-20 11:47:49 | DEBUG   | QQQ | State 3→0 | cooldown done, price inside band
2026-05-20 11:47:49 | INFO    | 2024-01-30 done | running P&L: $-3.03
2026-05-20 11:47:49 | INFO    | --- 2024-01-31 (55 bars) ---
2026-05-20 11:47:49 | DEBUG   | QQQ | State 0→1 | break UP 1.30 SD
2026-05-20 11:47:49 | DEBUG   | QQQ | State 1→0 | short skipped (long-only mode)
2026-05-20 11:47:49 | DEBUG   | QQQ | State 0→1 | break UP 1.06 SD
2026-05-20 11:47:50 | DEBUG   | QQQ | State 1→0 | short skipped (long-only mode)
2026-05-20 11:47:50 | DEBUG   | QQQ | State 0→1 | break UP 1.01 SD
2026-05-20 11:47:50 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-20 11:47:50 | DEBUG   | QQQ | State 0→1 | break UP 1.40 SD
2026-05-20 11:47:50 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:50 | INFO    | 2024-01-31 done | running P&L: $-3.03
2026-05-20 11:47:50 | INFO    | --- 2024-02-01 (55 bars) ---
2026-05-20 11:47:50 | DEBUG   | QQQ | State 0→1 | break UP 1.20 SD
2026-05-20 11:47:50 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=True
2026-05-20 11:47:50 | DEBUG   | QQQ | State 0→1 | break UP 1.60 SD
2026-05-20 11:47:50 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:50 | DEBUG   | QQQ | State 0→1 | break UP 1.12 SD
2026-05-20 11:47:50 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:50 | DEBUG   | QQQ | State 0→1 | break UP 1.10 SD
2026-05-20 11:47:50 | INFO    | 2024-02-01 done | running P&L: $-3.03
2026-05-20 11:47:51 | INFO    | --- 2024-02-02 (55 bars) ---
2026-05-20 11:47:51 | DEBUG   | QQQ | State 0→1 | break UP 2.00 SD
2026-05-20 11:47:51 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-20 11:47:51 | DEBUG   | QQQ | State 0→1 | break UP 1.06 SD
2026-05-20 11:47:51 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-20 11:47:51 | DEBUG   | QQQ | State 0→1 | break UP 1.24 SD
2026-05-20 11:47:51 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-20 11:47:51 | DEBUG   | QQQ | State 0→1 | break UP 1.00 SD
2026-05-20 11:47:51 | INFO    | 2024-02-02 done | running P&L: $-3.03
2026-05-20 11:47:51 | INFO    | --- 2024-02-05 (55 bars) ---
2026-05-20 11:47:51 | DEBUG   | QQQ | State 0→1 | break UP 1.24 SD
2026-05-20 11:47:51 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:51 | DEBUG   | QQQ | State 0→1 | break UP 1.12 SD
2026-05-20 11:47:51 | DEBUG   | QQQ | State 1→0 | short skipped (long-only mode)
2026-05-20 11:47:51 | DEBUG   | QQQ | State 0→1 | break UP 1.14 SD
2026-05-20 11:47:51 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:51 | DEBUG   | QQQ | State 0→1 | break UP 1.27 SD
2026-05-20 11:47:51 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:51 | DEBUG   | QQQ | State 0→1 | break UP 1.29 SD
2026-05-20 11:47:51 | INFO    | 2024-02-05 done | running P&L: $-3.03
2026-05-20 11:47:52 | INFO    | --- 2024-02-06 (55 bars) ---
2026-05-20 11:47:52 | DEBUG   | QQQ | State 0→1 | break UP 1.67 SD
2026-05-20 11:47:52 | DEBUG   | QQQ | State 1→0 | short skipped (long-only mode)
2026-05-20 11:47:52 | DEBUG   | QQQ | State 0→1 | break DN -3.13 SD
2026-05-20 11:47:52 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=False
2026-05-20 11:47:52 | DEBUG   | QQQ | State 0→1 | break DN -1.10 SD
2026-05-20 11:47:52 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:52 | DEBUG   | QQQ | State 0→1 | break DN -1.09 SD
2026-05-20 11:47:52 | INFO    | QQQ | State 1→2 | enter_long | slope=-0.0118 ratio=0.891
2026-05-20 11:47:52 | INFO    | Position opened | QQQ long | 2 shares @ 426.37 | $853
2026-05-20 11:47:52 | DEBUG   | QQQ | State 2 | bars_in_position=1
2026-05-20 11:47:52 | DEBUG   | QQQ | State 2 | bars_in_position=2
2026-05-20 11:47:52 | DEBUG   | QQQ | State 2 | bars_in_position=3
2026-05-20 11:47:52 | DEBUG   | QQQ | State 2 | bars_in_position=4
2026-05-20 11:47:52 | DEBUG   | QQQ | State 2 | bars_in_position=5
2026-05-20 11:47:52 | DEBUG   | QQQ | State 2 | bars_in_position=6
2026-05-20 11:47:52 | DEBUG   | QQQ | State 2 | bars_in_position=7
2026-05-20 11:47:52 | INFO    | QQQ | State 2→0 | TP hit at 426.81
2026-05-20 11:47:52 | INFO    | Position closed | QQQ long | exit=426.81 | P&L=$0.88 | reason=TP
2026-05-20 11:47:52 | DEBUG   | QQQ | State 0→1 | break DN -1.44 SD
2026-05-20 11:47:52 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:52 | INFO    | 2024-02-06 done | running P&L: $-2.15
2026-05-20 11:47:52 | INFO    | --- 2024-02-07 (55 bars) ---
2026-05-20 11:47:52 | DEBUG   | QQQ | State 0→1 | break DN -1.10 SD
2026-05-20 11:47:52 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:52 | DEBUG   | QQQ | State 0→1 | break DN -1.18 SD
2026-05-20 11:47:52 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:52 | DEBUG   | QQQ | State 0→1 | break UP 1.05 SD
2026-05-20 11:47:52 | DEBUG   | QQQ | State 1→0 | short skipped (long-only mode)
2026-05-20 11:47:53 | INFO    | 2024-02-07 done | running P&L: $-2.15
2026-05-20 11:47:53 | INFO    | --- 2024-02-08 (55 bars) ---
2026-05-20 11:47:53 | DEBUG   | QQQ | State 0→1 | break UP 1.15 SD
2026-05-20 11:47:53 | DEBUG   | QQQ | State 1→0 | short skipped (long-only mode)
2026-05-20 11:47:53 | DEBUG   | QQQ | State 0→1 | break UP 1.08 SD
2026-05-20 11:47:53 | DEBUG   | QQQ | State 1→0 | short skipped (long-only mode)
2026-05-20 11:47:53 | DEBUG   | QQQ | State 0→1 | break UP 1.24 SD
2026-05-20 11:47:53 | DEBUG   | QQQ | State 1→0 | short skipped (long-only mode)
2026-05-20 11:47:53 | DEBUG   | QQQ | State 0→1 | break UP 1.25 SD
2026-05-20 11:47:53 | DEBUG   | QQQ | State 1→0 | short skipped (long-only mode)
2026-05-20 11:47:53 | DEBUG   | QQQ | State 0→1 | break DN -1.58 SD
2026-05-20 11:47:53 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:47:53 | DEBUG   | QQQ | State 0→1 | break DN -1.55 SD
2026-05-20 11:47:53 | INFO    | 2024-02-08 done | running P&L: $-2.15
2026-05-20 11:47:53 | INFO    | --- 2024-02-09 (55 bars) ---
2026-05-20 11:47:53 | DEBUG   | QQQ | State 0→1 | break UP 1.13 SD
2026-05-20 11:47:53 | DEBUG   | QQQ | State 1→0 | short skipped (long-only mode)
2026-05-20 11:47:53 | DEBUG   | QQQ | State 0→1 | break UP 1.21 SD
